atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station,yelp_id
12.0,4.0,4.0,6.0,,4.0,4.0,2.0,3.0,,1.0,4.0,,,,,,Vco3twYE0sD4kb0O1_PLoQ
12.0,2.0,8.0,6.0,,11.0,7.0,1.0,7.0,1.0,,3.0,5.0,,1.0,,,VlXOIzTFaEwF--oPFzfDkA
16.0,4.0,27.0,6.0,3.0,14.0,8.0,2.0,8.0,,1.0,24.0,,,,,1.0,VnuD2cojPTWd3nIHQjnL8w
25.0,9.0,44.0,40.0,4.0,21.0,35.0,,7.0,3.0,4.0,44.0,4.0,2.0,2.0,,,W2YNtO5W_ZK6o-1t8uLcYw
12.0,6.0,2.0,13.0,,21.0,5.0,,2.0,,,6.0,1.0,,2.0,,,WGPQZMXwhFPgN6D_fk8t4Q
16.0,5.0,2.0,12.0,,23.0,4.0,2.0,1.0,,1.0,11.0,,,,,,WLYDPoWGriHWtf4BmRVx2Q
,,1.0,,,,1.0,,,,,,,,,,,WRv36_xwynru5AFVEyCOkw
4.0,2.0,2.0,6.0,,9.0,1.0,2.0,1.0,,,8.0,,,,,,WkjIWu8rIpAAUhnqsuik9w
6.0,2.0,12.0,22.0,3.0,19.0,4.0,1.0,4.0,1.0,3.0,9.0,1.0,,2.0,,1.0,X0-4QinxqDweGOWMKsb9bA
2.0,2.0,5.0,5.0,,2.0,2.0,,6.0,1.0,,,4.0,,1.0,,,XDe1BMq0C7ljuW3a6WoAwg
38.0,16.0,36.0,57.0,7.0,16.0,42.0,,19.0,1.0,3.0,29.0,9.0,,2.0,,,XUepp8T9xSMBuvlEG_-DrQ
40.0,26.0,32.0,60.0,3.0,17.0,32.0,,33.0,,3.0,31.0,11.0,1.0,,,1.0,XWF0qtV3GxkgfdvAjwpfzQ
14.0,4.0,17.0,25.0,1.0,27.0,15.0,4.0,5.0,,6.0,16.0,4.0,1.0,2.0,,,XgJWwSXomuSblxFBE-AxpA
18.0,10.0,19.0,9.0,5.0,24.0,16.0,1.0,9.0,1.0,1.0,22.0,1.0,1.0,1.0,,,YFkrZhuA1phCiJB1EJV39w
2.0,1.0,3.0,2.0,,,,2.0,2.0,1.0,,,,,,,,YJJEptfpcPLsDY3zPCjpLg
15.0,8.0,2.0,11.0,,2.0,3.0,5.0,9.0,,,7.0,1.0,,2.0,,,YYWfxVRa9v-48Lehza2RYQ
