,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
17,63102,2347,935,1138,11,155,1,2,23,51,84.3%,,16.1%,4.4%,25.6 minutes,70.3%,11.1%,1.0%,3.5%,14.1%
18,63103,7369,3262,3068,16,266,1,14,108,165,89.7%,,21.4%,4.5%,22.4 minutes,62.8%,18.9%,4.2%,3.7%,10.4%
19,63104,20611,8506,8987,33,277,3,26,420,404,92.5%,,22.6%,5.6%,23.5 minutes,52.4%,31.9%,2.1%,5.0%,8.7%
20,63105,17851,13544,1333,20,1835,3,19,379,534,99.3%,,48.2%,3.5%,17.2 minutes,46.7%,43.0%,0.4%,3.4%,6.5%
21,63108,21651,11322,7114,41,2060,4,35,418,574,91.4%,,32.8%,7.2%,20.1 minutes,59.8%,25.5%,2.1%,4.0%,8.7%
22,63109,27460,23388,1703,48,457,4,29,456,861,94.8%,,20.8%,3.3%,22.9 minutes,35.6%,44.7%,1.8%,5.6%,12.3%
23,63110,17672,8843,6850,31,535,7,48,414,379,90.9%,,23.7%,5.2%,19.5 minutes,52.1%,30.2%,2.3%,4.3%,11.0%
24,63114,36039,22368,9046,86,846,11,79,936,2829,85.3%,,4.9%,5.8%,21.4 minutes,38.8%,38.7%,2.1%,6.4%,14.0%
25,63116,44808,27528,8809,81,2695,8,77,1276,3066,84.2%,,12.3%,6.2%,26.7 minutes,40.2%,38.1%,2.7%,5.1%,13.9%
26,63119,34380,29076,2920,61,711,4,41,513,643,98.4%,,30.5%,3.0%,20.8 minutes,30.2%,52.9%,0.9%,7.9%,8.1%
27,63121,25638,3510,21910,59,370,2,33,402,316,86.2%,,9.7%,10.3%,26.7 minutes,46.4%,29.4%,2.5%,7.7%,14.0%
28,63122,39414,34717,2009,28,550,9,39,486,657,99.1%,,30.1%,2.1%,22.2 minutes,22.3%,59.7%,0.8%,6.4%,10.7%
